005222  bksp
00525C  prnt
0052D5  RDI
0052E6  RDIp
0052F4  IMI
005301  RSIp
005321  IMIp
00532F  ost
00533A  sclr
005350  e?
005357  qC?Ck
005377  e0?
00537E  EXTRA
00538A  e2?
005391  MISSING
00539F  op
0053D7  A
005431  M
005458  SP
005466  PSW
005475  .rt
005498  .tt
0054B3  gr
0054C3  yDp
0054D4  ILLEGAL
0054EB  go1
005508  go0
005575  >P
00557F  P>
005589  >P>
005A5D  ZXY
006203  rck
006242  RLJp
0062BA  roa
0062C5  .ABS
0062D3  .REL
0062E1  fck
006523  LABEL
006556  cblk
006562  cline
00656F  cchar
00657C  ebuf
006588  ebuf2
006595  echar
0065A2  spornot
0065B1  cchar@
0065C0  echar@
0065CF  evirg
0065EF  aline
006604  getline
006637  hUp
00665A  overlay
0066A6  virgin
0066BA  rbmove
0066E9  inchar
006715  copychar
006741  copyword
006793  copyrest
0067B9  eol
0067DF  erachar
006827  eraword
006869  passchar
006889  passchar?
0068A4  password
0068F1  overline
00691C  linetype
006938  felon
006950  newl
006986  newline
006997  addin
0069DC  N
0069F6  O=
006A51  conmod
006C80  fsflag
006D46  curstyp
006D82  sucknew
006DBD  replace
006DED  G
006E88  sblock
006EB0  SV
006ED1  IS
006F2C  NL
006F45  U
006F52  SB
006F97  SN
006FC3  SPLIT
006FEB  PRINTFILE
00703B  ENDPRT
007086  SCT
007091  .CONT.
00709F  .EXIT.
0070AD  GETIY
0070B9  TRUE
0070C5  FALSE
0070D2  EXIT
0070E0  VERB
0070EB  g
00712B  DISP
00715F  XCNT
00716B  PS
007177  RS
007180  SBASE
00719C  RSDUMP
0071D6  PSDUMP
007218  RSD
00721F  RS=
00722B  PSD
007232  PS=
00723E  LDISP
00727A  DFG
00728F  BPNT
0072A7  BM
0072B1  BRK
0072C4  CLRBRK
0072D6  DTEST
007302  SGO
007316  SCNT
007385  CLEAN
0073CC  STRT
0073EC  SAVEIT
007413  STEP
007464  DHEAD
007478  SEMIC
007485  DV
007493  DX
0074A7  DHEX
007507  j
0075E2  .0sys
0075EF  .4sys
0075FC  FSFIG
00764B  fo
007659  fy
007683  FBLOAD
00D583  Al
00D590  Al/
00E598  b
00E802  ROMSTART
00E812  RAMSTART
00E822  RSTACK
00E830  PSTACK
00E83E  ROMHERE
00E84D  RAMHERE
00E85C  xcsys
00E875  TOPDEF
00E883  XCSTATE
00E892  no-restart
00E8A4  byterse
00E8B3  final
00E8C0  BUF-SIZE
00E8E3  DBUFFERS
00E8F3  MORE-BUFFERS
00E95B  ABLK
00E967  ODRIVE
00E975  OFILE-SIZE
00E987  OBJECT-FILE
00E9B2  SET-OBJ-FILE
00E9DA  XCFSYSAVE
00EA2D  diskhere
00EAB1  FINAL-VERSION
00EAC8  BYTE-TERSE
00EADC  NO-RESTART
00EAF0  bytarray
00EB58  xc
00EB6E  xcverb
00EBB9  errtype
00EBCE  pv
00EC17  ref
00EC32  newbyt
00ED08  .topdef.
00ED18  .next.
00ED26  .lit.
00ED33  .tlit.
00ED41  .dbeg.
00ED4F  .dend.
00ED5D  .blit.
00ED6B  .btlit.
00ED7A  .bytbase.
00ED8B  .startup.
00ED9C  XCLITERAL
00EDD2  XCLIT
00EDF4  BTLIT
00EE2A  TLIT
00EE63  XCEND
00EEB6  verb-check
00EEFD  XCDLIST
00EF8D  XCBEG
00EFCA  U9t
00EFD9  XCCONT
00EFEB  xccalc
00F00D  tick
00F03D  XCSTAT
00F21D  VARI
00F2F9  F=
00F33F  interpret
00F393  QAZ
00F413  FS.XC
0153CF  XCTERSE
0153DB  ARC-TERSE
0153E9  ARCLOAD
0153F5  XCLOAD
015C00  ABINLOAD
015C0D  XC.LOGIC
015C1A  LLOAD
015C2E  BINLOAD
015C3A  FS.XCM
01B015  AT-HERE
01B024  PT-HERE
01B040  PBASE
01B098  QUADPAT
